id	path	depth	read length
HG02526-N1-DNA1-WGS1	data/polaris/HG02526.bam	30	150
HG02561-N1-DNA1-WGS1	data/polaris/HG02561.bam	30	150
HG02562-N1-DNA1-WGS1	data/polaris/HG02562.bam	30	150
HG02563-N1-DNA1-WGS1	data/polaris/HG02563.bam	30	150
HG02620-N1-DNA1-WGS1	data/polaris/HG02620.bam	30	150
HG02621-N1-DNA1-WGS1	data/polaris/HG02621.bam	30	150
HG02622-N1-DNA1-WGS1	data/polaris/HG02622.bam	30	150
HG02721-N1-DNA1-WGS1	data/polaris/HG02721.bam	30	150
HG02722-N1-DNA1-WGS1	data/polaris/HG02722.bam	30	150
HG02723-N1-DNA1-WGS1	data/polaris/HG02723.bam	30	150
HG02768-N1-DNA1-WGS1	data/polaris/HG02768.bam	30	150
HG02769-N1-DNA1-WGS1	data/polaris/HG02769.bam	30	150
HG02770-N1-DNA1-WGS1	data/polaris/HG02770.bam	30	150
HG02771-N1-DNA1-WGS1	data/polaris/HG02771.bam	30	150
HG02772-N1-DNA1-WGS1	data/polaris/HG02772.bam	30	150
HG02773-N1-DNA1-WGS1	data/polaris/HG02773.bam	30	150
HG02851-N1-DNA1-WGS1	data/polaris/HG02851.bam	30	150
HG02852-N1-DNA1-WGS1	data/polaris/HG02852.bam	30	150
HG02853-N1-DNA1-WGS1	data/polaris/HG02853.bam	30	150
HG02973-N1-DNA1-WGS1	data/polaris/HG02973.bam	30	150
HG02974-N1-DNA1-WGS1	data/polaris/HG02974.bam	30	150
HG02975-N1-DNA1-WGS1	data/polaris/HG02975.bam	30	150
HG02982-N1-DNA1-WGS1	data/polaris/HG02982.bam	30	150
HG02983-N1-DNA1-WGS1	data/polaris/HG02983.bam	30	150
HG02984-N1-DNA1-WGS1	data/polaris/HG02984.bam	30	150
HG03039-N1-DNA1-WGS1	data/polaris/HG03039.bam	30	150
HG03040-N1-DNA1-WGS1	data/polaris/HG03040.bam	30	150
HG03041-N1-DNA1-WGS1	data/polaris/HG03041.bam	30	150
HG03063-N1-DNA1-WGS1	data/polaris/HG03063.bam	30	150
HG03064-N1-DNA1-WGS1	data/polaris/HG03064.bam	30	150
HG03065-N1-DNA1-WGS1	data/polaris/HG03065.bam	30	150
HG03069-N1-DNA1-WGS1	data/polaris/HG03069.bam	30	150
HG03096-N1-DNA1-WGS1	data/polaris/HG03096.bam	30	150
HG03097-N1-DNA1-WGS1	data/polaris/HG03097.bam	30	150
HG03098-N1-DNA1-WGS1	data/polaris/HG03098.bam	30	150
HG03099-N1-DNA1-WGS1	data/polaris/HG03099.bam	30	150
HG03100-N1-DNA1-WGS1	data/polaris/HG03100.bam	30	150
HG03101-N1-DNA1-WGS1	data/polaris/HG03101.bam	30	150
HG03120-N1-DNA1-WGS1	data/polaris/HG03120.bam	30	150
HG03121-N1-DNA1-WGS1	data/polaris/HG03121.bam	30	150
HG03122-N1-DNA1-WGS1	data/polaris/HG03122.bam	30	150
HG03129-N1-DNA1-WGS1	data/polaris/HG03129.bam	30	150
HG03130-N1-DNA1-WGS1	data/polaris/HG03130.bam	30	150
