Sample.ID	ENA	Family.ID	Sex
HG00449	ERR1955416	SH016	F
HG00583	ERR1955459	SH054	M
HG00584	ERR1955453	SH054	F
HG00595	ERR1955506	SH058	M
HG00596	ERR1955452	SH058	F
HG00610	ERR1955402	SH063	M
HG00611	ERR1955523	SH063	F
HG00613	ERR1955497	SH064	M
HG00614	ERR1955501	SH064	F
HG00650	ERR1955407	SH072	M
HG00651	ERR1955530	SH072	F
HG00656	ERR1955478	SH074	M
HG00657	ERR1955484	SH074	F
HG00662	ERR1955507	SH076	M
HG00663	ERR1955495	SH076	F
HG00683	ERR1955540	SH083	M
HG00684	ERR1955437	SH083	F
HG02016	ERR1955417	VN46	F
HG02017	ERR1955409	VN46	M
HG02069	ERR1955456	VN64	F
HG02070	ERR1955422	VN64	M
HG02072	ERR1955434	VN65	F
HG02073	ERR1955525	VN65	M
HG02075	ERR1955505	VN66	F
HG02076	ERR1955448	VN66	M
HG02130	ERR1955414	VN79	F
HG02131	ERR1955436	VN79	M
HG02512	ERR1955533	VN87	M
HG02513	ERR1955466	VN87	F
HG02521	ERR1955510	VN90	M
HG02522	ERR1955518	VN90	F
HG02524	ERR1955472	VN91	M
HG02525	ERR1955400	VN91	F
HG00181	ERR1955428	NA	M
HG00185	ERR1955475	NA	M
HG00190	ERR1955496	NA	M
HG00267	ERR1955520	NA	M
HG00273	ERR1955486	NA	M
HG00277	ERR1955489	NA	M
HG00280	ERR1955396	NA	M
HG00284	ERR1955514	NA	M
HG00351	ERR1955490	NA	M
HG00358	ERR1955473	NA	M
HG00366	ERR1955442	NA	M
HG00369	ERR1955458	NA	M
HG00371	ERR1955408	NA	M
HG00372	ERR1955395	NA	M
HG00096	ERR1955393	NA	M
HG00098	ERR1955394	NA	M
HG00101	ERR1955403	NA	M
HG00103	ERR1955439	NA	M
HG00107	ERR1955492	NA	M
HG00108	ERR1955418	NA	M
HG00109	ERR1955541	NA	M
HG00115	ERR1955445	NA	M
HG00116	ERR1955508	NA	M
HG00117	ERR1955517	NA	M
HG00119	ERR1955447	NA	M
HG00131	ERR1955399	NA	M
HG00136	ERR1955474	NA	M
HG00139	ERR1955521	NA	M
HG00256	ERR1955502	NA	M
HG00264	ERR1955426	NA	M
