Algorithm	N	Threshold	TR	Filter	Percentage
Paragraph(Graph)	1	236	0	Quality	0.0025906735751295338
GGTyper	120	238	0.6083333333333333	Quality	0.3157894736842105
Paragraph(Graph)	1	238	0	Quality	0.0025906735751295338
GGTyper	117	240	0.5982905982905983	Quality	0.3078947368421053
Paragraph(Graph)	1	240	0	Quality	0.0025906735751295338
GGTyper	115	242	0.591304347826087	Quality	0.3026315789473684
Paragraph(Graph)	1	242	0	Quality	0.0025906735751295338
GGTyper	113	244	0.584070796460177	Quality	0.29736842105263156
Paragraph(Graph)	1	244	0	Quality	0.0025906735751295338
GGTyper	112	246	0.5803571428571429	Quality	0.29473684210526313
Paragraph(Graph)	1	246	0	Quality	0.0025906735751295338
GGTyper	109	248	0.5871559633027523	Quality	0.2868421052631579
Paragraph(Graph)	1	248	0	Quality	0.0025906735751295338
GGTyper	104	250	0.6153846153846154	Quality	0.2736842105263158
Paragraph(Graph)	1	250	0	Quality	0.0025906735751295338
GGTyper	96	252	0.6354166666666666	Quality	0.25263157894736843
GGTyper	93	254	0.6344086021505376	Quality	0.24473684210526317
GGTyper	90	256	0.6333333333333333	Quality	0.23684210526315788
GGTyper	88	258	0.6363636363636364	Quality	0.23157894736842105
GGTyper	83	260	0.6626506024096386	Quality	0.21842105263157896
GGTyper	81	262	0.6790123456790124	Quality	0.2131578947368421
GGTyper	79	264	0.6835443037974683	Quality	0.20789473684210527
GGTyper	78	266	0.6794871794871795	Quality	0.20526315789473684
GGTyper	78	268	0.6794871794871795	Quality	0.20526315789473684
GGTyper	78	270	0.6794871794871795	Quality	0.20526315789473684
GGTyper	75	272	0.6933333333333334	Quality	0.19736842105263158
GGTyper	72	274	0.6805555555555556	Quality	0.18947368421052632
GGTyper	68	276	0.6911764705882353	Quality	0.17894736842105263
GGTyper	65	278	0.6923076923076923	Quality	0.17105263157894737
GGTyper	65	280	0.6923076923076923	Quality	0.17105263157894737
GGTyper	64	282	0.703125	Quality	0.16842105263157894
GGTyper	64	284	0.703125	Quality	0.16842105263157894
GGTyper	63	286	0.7142857142857143	Quality	0.16578947368421051
GGTyper	60	288	0.7166666666666667	Quality	0.15789473684210525
