N	Percentage	TR	Threshold	Filter
24830	0.8302681736106466	0.5248086991542489	76	Quality
24581	0.8219420852002942	0.5254871648834466	78	Quality
24299	0.8125125392897746	0.5270175727396189	80	Quality
23999	0.8024811074700728	0.5275219800825034	82	Quality
23771	0.7948572192870996	0.5287955912666694	84	Quality
23492	0.7855279876947769	0.529925080878597	86	Quality
23199	0.7757306226175349	0.5314453209190051	88	Quality
22897	0.7656323145857019	0.532078438223348	90	Quality
22591	0.7554002541296061	0.5331326634500465	92	Quality
22267	0.7445663077643282	0.5346476849148964	94	Quality
21899	0.7322610847321608	0.5360062103292388	96	Quality
21567	0.7211596335183575	0.5372096258172208	98	Quality
21216	0.7094228582893065	0.538367269984917	100	Quality
20853	0.6972848257874674	0.5390591281829953	102	Quality
20484	0.6849461646492343	0.5396406951767233	104	Quality
20101	0.6721393700260817	0.5408686135018158	106	Quality
19699	0.6586972513876814	0.5425656124676379	108	Quality
19336	0.6465592188858423	0.5434422838229209	110	Quality
18997	0.6352237009295794	0.5450334263304732	112	Quality
18638	0.623219420852003	0.5470007511535573	114	Quality
18218	0.6091754163044205	0.5491272367987704	116	Quality
17857	0.5971042600147127	0.5503724029792239	118	Quality
17468	0.5840968367551662	0.5524387451339592	120	Quality
17117	0.5723600615261152	0.554010632704329	122	Quality
16730	0.5594195144787	0.5556485355648536	124	Quality
16339	0.546345215007022	0.5564600036721954	126	Quality
15966	0.5338728014445262	0.5578729800826757	128	Quality
15589	0.5212666354577676	0.5608441850022452	130	Quality
15166	0.5071223165919883	0.5629038639061058	132	Quality
14830	0.4958871129539223	0.5646662171274444	134	Quality
14523	0.4856216143917608	0.5659299042897473	136	Quality
14136	0.4726810673443456	0.5677702320316921	138	Quality
13733	0.45920551059987963	0.5695769314789194	140	Quality
13376	0.44726810673443457	0.5713965311004785	142	Quality
13037	0.4359325887781716	0.5719107156554422	144	Quality
12689	0.4242961278673176	0.5741193159429427	146	Quality
12335	0.4124590383200695	0.5760032428050263	148	Quality
12020	0.4019260349093827	0.5777870216306157	150	Quality
11693	0.39099177422590786	0.5802616950312153	152	Quality
11401	0.38122784725473147	0.5817910709586879	154	Quality
11083	0.37059452952584765	0.5836867274203735	156	Quality
10763	0.35989433558483247	0.5839449967481185	158	Quality
10451	0.3494616464923427	0.5862596880681274	160	Quality
10130	0.3387280144452618	0.5899308983218163	162	Quality
9793	0.3274593727011302	0.592566118656183	164	Quality
9498	0.3175951314117568	0.5920193724994736	166	Quality
9230	0.3086337189861566	0.5938244853737812	168	Quality
8946	0.29913729686350565	0.5956852224457858	170	Quality
8659	0.28954056042265763	0.5970666358701928	172	Quality
8382	0.2802782050424664	0.5984251968503937	174	Quality
8135	0.2720189928442453	0.6006146281499692	176	Quality
7873	0.2632582090550391	0.6028197637495237	178	Quality
7632	0.25519962549321207	0.6046907756813418	180	Quality
7399	0.2474085467799104	0.6081902959859441	182	Quality
7174	0.23988497291513408	0.6102592695846111	184	Quality
6948	0.23232796094429212	0.6116868163500288	186	Quality
6719	0.22467063465525314	0.6136329810983777	188	Quality
6492	0.2170801845783455	0.615218730745533	190	Quality
6264	0.20945629639537217	0.6154214559386973	192	Quality
6031	0.2016652176820705	0.6181396120046426	194	Quality
5808	0.19420852002942554	0.6184573002754821	196	Quality
5597	0.18715307964956865	0.6210469894586386	198	Quality
5414	0.1810339062395506	0.625230882896195	200	Quality
5214	0.1743462850264161	0.62734944380514	202	Quality
5004	0.1673242827526249	0.6298960831334932	204	Quality
4824	0.16130542366080386	0.6332918739635157	206	Quality
4662	0.1558884504781649	0.6362076362076362	208	Quality
4443	0.14856550524978265	0.6392077425163178	210	Quality
4267	0.1426803985822243	0.6435434731661589	212	Quality
4115	0.13759780646024208	0.6469015795868773	214	Quality
3948	0.13201364274727478	0.6537487335359676	216	Quality
3787	0.12663010767070154	0.6572484816477423	218	Quality
3635	0.12154751554871931	0.6638239339752408	220	Quality
3495	0.11686618069952517	0.6663805436337625	222	Quality
3340	0.11168327425934595	0.6691616766467066	224	Quality
3173	0.10609911054637865	0.6706586826347305	226	Quality
3014	0.10078245168193674	0.6768414067684141	228	Quality
2872	0.09603424062061125	0.6831476323119777	230	Quality
2712	0.09068414365010366	0.6873156342182891	232	Quality
2594	0.08673844713435432	0.6904394757131843	234	Quality
