Time	RSS	CPU
1233	3.0g	1200
1235	3.0g	1200
1237	3.0g	1200
1239	3.0g	1177
1242	3.0g	1200
1244	3.0g	1136
1246	3.0g	1200
1248	3.0g	1200
1250	3.0g	1200
1252	3.0g	1200
1254	3.0g	1200
1257	3.0g	1200
1259	3.0g	1200
1261	3.0g	1200
1263	3.0g	1200
1265	3.0g	1200
1267	3.0g	1200
1269	3.0g	1146
1271	3.0g	1177
1274	3.0g	1136
1276	3.0g	1200
1278	3.0g	1146
1280	3.0g	1185
1282	3.0g	1200
1284	3.0g	1129
1286	3.0g	1200
1289	3.0g	1185
1291	3.0g	1200
1293	3.0g	1200
1295	3.0g	1200
1297	3.0g	1200
1299	3.0g	1200
1301	3.0g	1200
1303	3.0g	1057
1306	3.0g	1136
1308	3.0g	1200
1310	3.0g	1200
1312	3.0g	1200
1314	3.0g	1146
1316	3.0g	1185
1318	3.0g	1200
1320	3.0g	1200
1323	3.0g	1200
1325	3.0g	1200
1327	3.0g	1200
1329	3.0g	1200
1331	3.0g	1185
1333	3.0g	1185
1335	3.0g	1200
1337	3.0g	1185
1339	3.0g	1138
1342	3.0g	1154
1344	3.0g	1192
1346	3.0g	1200
1348	3.0g	1200
1350	3.0g	1136
1352	3.0g	1185
1354	3.0g	1200
1356	3.0g	1185
1359	3.0g	1177
1361	3.0g	1129
1363	3.0g	1185
1365	3.0g	1185
1367	3.0g	1146
1369	3.0g	1200
1371	3.0g	1200
1374	3.0g	1129
1376	3.0g	1200
1378	3.0g	1200
1380	3.0g	1200
1382	3.0g	1200
1384	3.0g	1185
1386	3.0g	1138
1388	3.0g	1200
1391	3.0g	1146
1393	3.0g	1200
1395	3.0g	1129
1397	3.0g	1200
1399	3.0g	1185
1401	3.0g	1200
1403	3.0g	1200
1406	3.0g	1120
1408	3.0g	1200
1410	3.0g	1185
1412	3.0g	1185
1414	3.0g	1185
1416	3.0g	1200
1418	3.0g	1154
1421	3.0g	1200
1423	3.0g	1093
1425	3.0g	1200
1427	3.0g	1200
1429	3.0g	1185
1431	3.0g	1200
1433	3.0g	1177
1436	3.0g	1177
1438	3.0g	1200
1440	3.0g	1200
1442	3.0g	1200
1444	3.0g	1200
1446	3.0g	1129
1448	3.0g	1146
1450	3.0g	1200
1453	3.0g	1138
1455	3.0g	1138
1457	3.0g	1200
1459	3.0g	1185
1461	3.0g	1177
1463	3.0g	1200
1465	3.0g	1200
1468	3.0g	1064
1470	3.0g	1136
1472	3.0g	1200
1474	3.0g	1200
1476	3.0g	1200
1478	3.0g	1136
1480	3.0g	1200
1483	3.0g	1185
1485	3.0g	1177
1487	3.0g	1200
1489	3.0g	1136
1491	3.0g	1200
1493	3.0g	1100
1495	3.0g	1200
1497	3.0g	1146
1500	3.0g	1115
1502	3.0g	684.6
1504	3.0g	1200
1506	3.0g	1100
1508	3.0g	1200
1510	3.0g	1200
1512	3.0g	1200
1515	3.0g	1138
1517	3.0g	1200
1519	3.0g	1136
1521	3.0g	1171
1523	3.0g	1200
1525	3.0g	1200
1527	3.0g	1200
1529	3.0g	1200
1532	3.0g	1200
1534	3.0g	1200
1536	3.0g	1185
1538	3.0g	1200
1540	3.0g	1185
1542	3.0g	1185
1544	3.0g	1146
1546	3.0g	1177
1549	3.0g	1200
1551	3.0g	1200
1553	3.0g	1200
1555	3.0g	1200
1557	3.0g	1136
1559	3.0g	1200
1561	3.0g	1200
1564	3.0g	1200
1566	3.0g	1138
1568	3.0g	1200
1570	3.0g	1129
1572	3.0g	1200
1574	3.0g	1200
1576	3.0g	1200
1578	3.0g	1177
1581	3.0g	1200
1583	3.0g	1200
1585	3.0g	1200
1587	3.0g	1200
1589	3.0g	1136
1591	3.0g	1200
1593	3.0g	1200
1596	3.0g	1100
1598	3.0g	1177
1600	3.0g	1200
1602	3.0g	1200
1604	3.0g	1200
1606	3.0g	1200
1608	3.0g	1200
1610	3.0g	1200
1613	3.0g	1200
1615	3.0g	1129
1617	3.0g	1185
1619	3.0g	1200
1621	3.0g	1177
1623	3.0g	1200
1625	3.0g	1200
1627	3.0g	1146
1630	3.0g	1146
1632	3.0g	1150
1634	3.0g	1200
1636	3.0g	1200
1638	3.0g	1138
1640	3.0g	1200
1642	3.0g	1200
1644	3.0g	1108
1647	3.0g	1121
1649	3.0g	1200
1651	3.0g	1129
1653	3.0g	1200
1655	3.0g	1185
1657	3.0g	1115
1659	3.0g	1100
1662	3.0g	1200
1664	3.0g	1200
1666	3.0g	1146
1668	3.0g	1200
1670	3.0g	1200
1672	3.0g	1129
1674	3.0g	1164
1676	3.0g	1177
1679	3.0g	1177
1681	3.0g	1185
1683	3.0g	1185
1685	3.0g	1129
1687	3.0g	1200
1689	3.0g	1200
1691	3.0g	1200
1693	3.0g	1200
1696	3.0g	1200
1698	3.0g	1200
1700	3.0g	1136
1702	3.0g	1200
1704	3.0g	1200
1706	3.0g	1185
1708	3.0g	1200
1711	3.0g	1129
1713	3.0g	1200
1715	3.0g	1129
1717	3.0g	1200
1719	3.0g	1154
1721	3.0g	1146
1723	3.0g	1185
1725	3.0g	1146
1728	3.0g	1200
1730	3.0g	1177
1732	3.0g	1136
1734	3.0g	1200
1736	3.0g	1200
1738	3.0g	1200
1740	3.0g	1200
1742	3.0g	1136
1745	3.0g	1200
1747	3.0g	1200
1749	3.0g	1185
1751	3.0g	1146
1753	3.0g	1129
1755	3.0g	1200
1757	3.0g	1200
1760	3.0g	1177
1762	3.0g	1185
1764	3.0g	1200
1766	3.0g	1200
1768	3.0g	1200
1770	3.0g	1177
1772	3.0g	1136
1774	3.0g	1200
1777	3.0g	1200
1779	3.0g	1192
1781	3.0g	1064
1783	3.0g	1200
1785	3.0g	1200
1787	3.0g	1185
1789	3.0g	1136
1792	3.0g	1177
1794	3.0g	1200
1796	3.0g	1200
1798	3.0g	1200
1800	3.0g	1200
1802	3.0g	1200
1804	3.0g	1200
1807	3.0g	1200
1809	3.0g	1185
1811	3.0g	1086
1813	3.0g	1185
1815	3.0g	1177
1817	3.0g	1200
1819	3.0g	1129
1821	3.0g	1200
1824	3.0g	1177
1826	3.0g	1164
1828	3.0g	1200
1830	3.0g	1200
1832	3.0g	1177
1834	3.0g	1200
1836	3.0g	1200
1839	3.0g	1200
1841	3.0g	1200
1843	3.0g	1177
1845	3.0g	1185
1847	3.0g	1136
1849	3.0g	1177
1851	3.0g	1157
1854	3.0g	1200
1856	3.0g	1200
1858	3.0g	1136
1860	3.0g	1200
1862	3.0g	1185
1864	3.0g	1200
1866	3.0g	1093
1868	3.0g	1093
1871	3.0g	1200
1873	3.0g	1200
1875	3.0g	1200
1877	3.0g	1200
1879	3.0g	1177
1881	3.0g	1177
1883	3.0g	1146
1886	3.0g	1162
1888	3.0g	1177
1890	3.0g	1192
1892	3.0g	1185
1894	3.0g	1200
1896	3.0g	1200
1898	3.0g	1200
1900	3.0g	1200
1903	3.0g	1136
1905	3.0g	1200
1907	3.0g	1177
1909	3.0g	1200
1911	3.0g	1185
1913	3.0g	1200
1915	3.0g	1200
1918	3.0g	1185
1920	3.0g	1177
1922	3.0g	1129
1924	3.0g	1200
1926	3.0g	1146
1928	3.0g	1177
1930	3.0g	1129
1933	3.0g	1200
1935	3.0g	1200
1937	3.0g	1177
1939	3.0g	1200
1941	3.0g	1200
1943	3.0g	1146
1945	3.0g	1200
1947	3.0g	1200
1950	3.0g	1200
1952	3.0g	1200
1954	3.0g	1185
1956	3.0g	1129
1958	3.0g	1200
1960	3.0g	1200
1962	3.0g	1185
1965	3.0g	1200
1967	3.0g	1200
1969	3.0g	1200
1971	3.0g	1200
1973	3.0g	1200
1975	3.0g	1136
1977	3.0g	1175
1979	3.0g	1200
1982	3.0g	1200
1984	3.0g	1136
1986	3.0g	1200
1988	3.0g	1200
1990	3.0g	1177
1992	3.0g	1185
1994	3.0g	1177
1996	3.0g	1185
1999	3.0g	1200
2001	3.0g	1200
2003	3.0g	1200
2005	3.0g	1200
2007	3.0g	1200
2009	3.0g	1200
2011	3.0g	1177
2014	3.0g	1177
2016	3.0g	1185
2018	3.0g	1177
2020	3.0g	1200
2022	3.0g	1057
2024	3.0g	1185
2026	3.0g	1200
2028	3.0g	1185
2031	3.0g	1200
2033	3.0g	1200
2035	3.0g	1177
2037	3.0g	1200
2039	3.0g	1200
2041	3.0g	1200
2043	3.0g	1200
2045	3.0g	1136
2048	3.0g	1200
2050	3.0g	1200
2052	3.0g	1177
2054	3.0g	1200
2056	3.0g	1136
2058	3.0g	1185
2060	3.0g	1200
2062	3.0g	1200
2065	3.0g	1200
2067	3.0g	1085
2069	1.4g	92.3
2071	2.9g	1177
2073	2.9g	1200
2075	2.9g	1185
2077	2.9g	1146
2080	2.9g	1136
2082	3.0g	1185
2084	3.0g	1154
2086	3.0g	1200
2088	3.0g	1177
2090	3.0g	1177
2092	3.0g	1146
2094	3.0g	1177
2096	3.0g	1200
2099	2.9g	214.3
2101	3.0g	1200
2103	3.0g	1200
2105	3.0g	1093
2107	3.0g	1200
2109	3.0g	1093
2111	3.0g	1200
2113	3.0g	1185
2116	3.0g	1200
2118	3.0g	1200
2120	3.0g	1185
2122	3.0g	1136
2124	3.0g	1200
2126	3.0g	1136
2128	3.0g	1200
2131	3.0g	1121
2133	3.0g	1153
2135	3.0g	1200
2137	3.0g	1169
2139	3.0g	1185
2141	3.0g	1200
2143	3.0g	1129
2146	3.0g	1146
2148	3.0g	1200
2150	3.0g	1138
2152	3.0g	1177
2154	3.0g	1200
2156	3.0g	1138
2158	3.0g	1185
2160	3.0g	1200
2162	3.0g	1200
2165	3.0g	1200
2167	3.0g	1185
2169	3.0g	1200
2171	3.0g	1200
2173	3.0g	1200
2175	3.0g	1200
2177	3.0g	1200
2179	3.0g	1200
2182	3.0g	1185
2184	3.0g	1177
2186	3.0g	1185
2188	3.0g	1200
2190	3.0g	1138
2192	3.0g	1200
