Time	RSS	CPU
973	7.3g	308.3
975	7.3g	300.0
977	7.3g	307.7
979	7.3g	175.0
981	7.3g	223.1
984	7.3g	276.9
986	7.3g	223.1
988	7.3g	246.2
990	7.3g	315.4
992	7.3g	315.4
994	7.3g	307.7
996	7.3g	225.0
998	7.3g	207.7
1001	7.3g	215.4
1003	7.3g	292.3
1005	7.3g	300.0
1007	7.3g	300.0
1009	7.3g	276.9
1011	7.3g	325.0
1013	7.3g	300.0
1016	7.3g	200.0
1018	7.3g	215.4
1020	7.3g	192.3
1022	7.3g	238.5
1024	7.3g	261.5
1026	7.3g	215.4
1028	7.3g	307.7
1031	7.3g	333.3
1033	7.3g	300.0
1035	7.3g	207.7
1037	7.3g	207.7
1039	7.3g	215.4
1041	7.3g	200.0
1043	7.3g	200.0
1046	7.3g	333.3
1048	7.3g	284.6
1050	7.3g	300.0
1052	7.3g	307.7
1054	7.3g	200.0
1056	7.3g	108.3
1058	7.3g	223.1
1060	7.3g	361.5
1062	7.3g	225.0
1065	7.3g	291.7
1067	7.3g	333.3
1069	7.3g	376.9
1071	7.3g	300.0
1073	7.3g	307.7
1075	7.3g	307.7
1077	7.3g	253.8
1080	7.3g	316.7
1082	7.3g	325.0
1084	7.3g	200.0
1086	7.3g	216.7
1088	7.3g	325.0
1090	7.3g	325.0
1092	7.3g	261.5
1094	7.3g	346.2
1097	7.3g	307.7
1099	7.3g	325.0
1101	7.3g	192.3
1103	7.3g	223.1
1105	7.3g	315.4
1107	7.3g	216.7
1109	7.3g	200.0
1112	7.3g	300.0
1114	7.3g	307.7
1116	7.3g	284.6
1118	7.3g	307.7
1120	7.3g	316.7
1122	7.3g	284.6
1124	7.3g	316.7
1126	7.3g	208.3
1129	7.3g	208.3
1131	7.3g	341.7
1133	7.3g	238.5
1135	7.3g	207.7
1137	7.3g	307.7
1139	7.3g	300.0
1141	7.3g	338.5
1144	7.3g	307.7
1146	7.3g	325.0
1148	7.3g	307.7
1150	7.3g	250.0
1152	7.3g	353.8
1154	7.3g	300.0
1156	7.3g	192.3
1159	7.3g	200.0
1161	7.3g	300.0
1163	7.3g	300.0
1165	7.3g	408.3
1167	7.3g	300.0
1169	7.3g	325.0
1171	7.3g	300.0
1173	7.3g	218.2
1176	7.3g	184.6
1178	7.3g	207.7
1180	7.3g	253.8
1182	7.3g	200.0
1184	7.3g	300.0
1186	7.3g	307.7
1188	7.3g	300.0
1190	7.3g	169.2
1193	7.3g	215.4
1195	7.3g	107.7
1197	7.3g	200.0
1199	7.3g	0.0
1201	7.3g	292.3
1204	7.3g	225.0
1206	7.3g	238.5
1208	7.3g	183.3
1210	7.3g	192.3
1212	7.3g	233.3
1214	7.3g	30.8
1216	7.3g	92.3
1219	7.3g	215.4
1221	7.3g	0.0
1223	7.3g	283.3
1225	7.3g	215.4
1227	7.3g	292.3
1229	7.3g	0.0
1231	7.3g	176.9
1234	7.3g	230.8
1236	7.3g	92.3
1238	7.3g	7.7
1240	7.3g	7.7
1242	7.3g	200.0
1244	7.3g	292.3
1247	7.3g	292.3
1249	7.3g	158.3
1251	7.3g	266.7
1253	7.3g	76.9
1255	7.3g	208.3
1257	7.3g	176.9
1259	7.3g	146.2
1262	7.3g	207.7
1264	7.3g	315.4
1266	7.3g	300.0
1268	7.3g	300.0
1270	7.3g	300.0
1272	7.3g	253.8
1275	7.3g	307.7
1277	7.3g	216.7
1279	7.3g	200.0
1281	7.3g	215.4
1283	7.3g	223.1
1285	7.3g	223.1
1288	7.3g	215.4
1290	7.3g	300.0
1292	7.3g	292.3
1294	7.3g	285.7
1296	7.3g	200.0
1299	7.3g	278.6
1301	7.3g	327.3
1303	7.3g	207.7
1305	7.3g	200.0
1307	7.3g	325.0
1309	7.3g	292.3
1311	7.3g	269.2
1313	7.3g	307.7
1316	7.3g	300.0
1318	7.3g	315.4
1320	7.3g	292.3
1322	7.3g	353.8
1324	7.3g	300.0
1326	7.3g	200.0
1328	7.3g	208.3
1331	7.3g	200.0
1333	7.3g	307.7
1335	7.3g	215.4
1337	7.3g	333.3
