Time	RSS	CPU
1184	3.1g	1200
1186	3.1g	1164
1188	3.1g	1200
1191	3.1g	1185
1193	3.1g	1036
1195	3.1g	1200
1197	3.1g	1100
1199	3.1g	1200
1201	3.1g	1177
1203	3.1g	1200
1206	3.1g	1177
1208	3.1g	1200
1210	3.1g	1162
1212	3.1g	1200
1214	3.1g	1146
1216	3.1g	1200
1218	3.1g	1177
1220	3.1g	1200
1222	3.1g	1185
1225	3.1g	1200
1227	3.1g	1200
1229	3.1g	1200
1231	3.1g	1064
1233	3.1g	1200
1235	3.1g	1177
1237	3.1g	1200
1239	3.1g	1200
1242	3.1g	1200
1244	3.1g	1136
1246	3.1g	1200
1248	3.1g	1200
1250	3.1g	1200
1252	3.1g	1200
1254	3.1g	1200
1257	3.1g	1200
1259	3.1g	1177
1261	3.1g	1200
1263	3.1g	1200
1265	3.1g	1200
1267	3.1g	1200
1269	3.1g	1200
1272	3.1g	1177
1274	3.1g	1200
1276	3.1g	1177
1278	3.1g	1185
1280	3.1g	1200
1282	3.1g	1146
1284	3.1g	1177
1286	3.1g	1200
1289	3.1g	1200
1291	3.1g	1177
1293	3.1g	1200
1295	3.1g	1177
1297	3.1g	1200
1299	3.1g	1200
1301	3.1g	1129
1303	3.1g	1185
1306	3.1g	1200
1308	3.1g	1200
1310	3.1g	1200
1312	3.1g	1200
1314	3.1g	1185
1316	3.1g	1107
1318	3.1g	1100
1320	3.1g	1200
1323	3.1g	1129
1325	3.1g	1200
1327	3.1g	1200
1329	3.1g	1129
1331	3.1g	1200
1333	3.1g	1185
1335	3.1g	1177
1337	3.1g	1146
1340	3.1g	1200
1342	3.1g	1177
1344	3.1g	1200
1346	3.1g	1136
1348	3.1g	1142
1350	3.1g	1200
1352	3.1g	1200
1354	3.1g	1200
1356	3.1g	1185
1359	3.1g	1200
1361	3.1g	1200
1363	3.1g	1200
1365	3.1g	1185
1367	3.1g	1200
1369	3.1g	1200
1371	3.1g	1177
1374	3.1g	1200
1376	3.1g	1185
1378	3.1g	1200
1380	3.1g	1200
1382	3.1g	1200
1384	3.1g	1200
1386	3.1g	1146
1389	3.1g	1129
1391	3.1g	1185
1393	3.1g	1200
1395	3.1g	1200
1397	3.1g	1200
1399	3.1g	1185
1401	3.1g	1171
1403	3.1g	1200
1405	3.1g	1146
1408	3.1g	1200
1410	3.1g	1200
1412	3.1g	1200
1414	3.1g	1200
1416	3.1g	1200
1418	3.1g	1138
1420	3.1g	1200
1422	3.1g	1177
1425	3.1g	1200
1427	3.1g	1185
1429	3.1g	1185
1431	3.1g	1200
1433	3.1g	1177
1435	3.1g	1200
1437	3.1g	1177
1440	3.1g	1200
1442	3.1g	1200
1444	3.1g	1129
1446	3.1g	1200
1448	3.1g	1177
1450	3.1g	1200
1452	3.1g	1177
1455	3.1g	1200
1457	3.1g	1177
1459	3.1g	1200
1461	3.1g	1177
1463	3.1g	1146
1465	3.1g	1185
1467	3.1g	1200
1469	3.1g	1200
1472	3.1g	1200
1474	3.1g	1200
1476	3.1g	1200
1478	3.1g	1138
1480	3.1g	1185
1482	3.1g	1200
1484	3.1g	1200
1487	3.1g	1185
1489	3.1g	1200
1491	3.1g	1154
1493	3.1g	1200
1495	3.1g	1200
1497	3.1g	1177
1499	3.1g	1200
1501	3.1g	1200
1504	3.1g	1100
1506	3.1g	1177
1508	3.1g	1146
1510	3.1g	1200
1512	3.1g	1185
1514	3.1g	1185
1516	3.1g	1200
1518	3.1g	1146
1520	3.1g	1200
1523	3.1g	1164
1525	3.1g	1136
1527	3.1g	1200
1529	3.1g	1146
1531	3.1g	1185
1533	3.1g	1146
1535	3.1g	1200
1537	3.1g	1146
1540	3.1g	1200
1542	3.1g	1185
1544	3.1g	1200
1546	3.1g	1200
1548	3.1g	1146
1550	3.1g	1046
1552	3.1g	1185
1554	3.1g	1200
1557	3.1g	1200
1559	3.1g	1200
1561	3.1g	1200
1563	3.1g	1200
1565	3.1g	1146
1567	3.1g	1146
1569	3.1g	1177
1571	3.1g	1177
1573	3.1g	1138
1576	3.1g	1200
1578	3.1g	1200
1580	3.1g	1200
1582	3.1g	1200
1584	3.1g	1200
1586	3.1g	1200
1588	3.1g	1200
1590	3.1g	1200
1593	3.1g	1129
1595	3.1g	1200
1597	3.1g	1146
1599	3.1g	1200
1601	3.1g	1200
1603	3.1g	1177
1605	3.1g	1200
1607	3.1g	1146
1609	3.1g	1177
1612	3.1g	1200
1614	3.1g	1185
